UNITID,INSTNM,WEBADDR,group,scimago_rank,scimago_institution
232706,Marymount University,https://www.marymount.edu/,scimago_bottom_test,566,Marymount University
166850,Merrimack College,https://www.merrimack.edu/,scimago_bottom_test,565,Merrimack College
186876,Stockton University,https://www.stockton.edu/,scimago_bottom_test,564,Stockton University
215929,University of Scranton,www.scranton.edu/,scimago_bottom_test,563,University of Scranton
163338,University of Maryland Eastern Shore,wwwcp.umes.edu/,scimago_bottom_test,562,University of Maryland Eastern Shore
