unitid,instnm,url,ok,status_code,content_type,saved_path,error
497480,Reach University,https://info.reach.edu/support/essay-writing-can-i-use-ai-when-i-write,True,200,text/html; charset=utf-8,data/compilation/html/497480/9e753737331770cf9bda8d27aa570a26339f86ee.html,
497480,Reach University,https://info.reach.edu/support/policies-procedures,True,404,text/html,data/compilation/html/497480/707677a0aa7d60a2144e8f8094f78d7c06c13134.html,
497480,Reach University,https://info.reach.edu/support,True,200,text/html; charset=utf-8,data/compilation/html/497480/ed3c316ad95629f7a66cadd70e5236aa58edbf2e.html,
497480,Reach University,https://reach.edu/terms-of-service,True,200,text/html; charset=utf-8,data/compilation/html/497480/06626ce5ef9e14962da0c1f98fd3cf1341bfb737.html,
497480,Reach University,https://reach.edu/privacy-policy,True,200,text/html; charset=utf-8,data/compilation/html/497480/10bb08e95680667e4374fa33267464ad769e531a.html,
497480,Reach University,https://info.reach.edu/support/candidate-code-of-conduct,True,200,text/html; charset=utf-8,data/compilation/html/497480/94c69cdb03d23c550de7aaffc2f27c8fda3be6e0.html,
497480,Reach University,https://reach.edu/admissions,True,200,text/html; charset=utf-8,data/compilation/html/497480/62a434fc688d1895dc2620860d589a5fb6c1cbc0.html,
497480,Reach University,https://info.reach.edu/support/how-do-i-submit-coursework-on-canvas,True,200,text/html; charset=utf-8,data/compilation/html/497480/89fd107e81eee30d2d2a14d06080a1913c9c62a0.html,
497480,Reach University,https://files.reach.edu/hubfs/RESOURCES/Reach%20University%20Course%20Catalog.pdf,False,200,application/pdf,,skipped_non_html
497480,Reach University,https://info.reach.edu/support/how-do-i-join-my-online-classes,True,200,text/html; charset=utf-8,data/compilation/html/497480/a4277006777cc839e3a504c4812aa8fa25578f6d.html,
497480,Reach University,https://info.reach.edu/support/transfer-credit-policies,True,404,text/html,data/compilation/html/497480/bdb32f6aa7f6f6f6ad5e29fae78ce978718c9c77.html,
497480,Reach University,https://info.reach.edu/support/accreditation-disclosures-consumer-data,True,200,text/html; charset=utf-8,data/compilation/html/497480/a29795aa8d06034a4fd721126f2bb7322cf0a006.html,
497480,Reach University,https://reach.edu/about-reach,True,200,text/html; charset=utf-8,data/compilation/html/497480/fd32a3e17c7b9fbf62fe286c1b4f09ae92a7ff00.html,
497480,Reach University,https://reach.edu/hubfs/RESOURCES/UG_Candidate%20Handbook%202024-25_FINAL.pdf,False,200,application/pdf,,skipped_non_html
497480,Reach University,https://reach.edu/hubfs/RESOURCES/GRAD_%2520Candidate%2520Handbook%25202024-25.pdf,True,404,text/html,data/compilation/html/497480/8b3cc3debc5e0e2bc8d98e2cb87290d27faf2d2e.html,
497480,Reach University,https://info.reach.edu/support/candidate-grievance-procedures,True,200,text/html; charset=utf-8,data/compilation/html/497480/bb56bcd026433a2e18052fc2fa34b6b4ce7caa6e.html,
497480,Reach University,https://info.reach.edu/support/general-complaint-procedure,True,200,text/html; charset=utf-8,data/compilation/html/497480/ee4a446d33c8279266d91df7b0781819255be415.html,
497480,Reach University,https://info.reach.edu/support/knowledge-base/what-are-the-responsibilities-and-agreements-for-each-party-and-mutual-commitments,True,404,text/html,data/compilation/html/497480/19e8a59bee3e8ec68440fbaa420548cda891a632.html,
497480,Reach University,https://info.reach.edu/support/lrce-frequently-asked-questions,True,200,text/html; charset=utf-8,data/compilation/html/497480/f3ce74d81c1d653241e3cb68e4e62dcb0806276a.html,
497480,Reach University,https://info.reach.edu/support/federal-consumer-information-disclosures,True,200,text/html; charset=utf-8,data/compilation/html/497480/97132c7846910453e5e41bdf0ccd98e8aaa58958.html,
497480,Reach University,https://info.reach.edu/support/what-if-i-have-concerns-about-my-accommodations,True,200,text/html; charset=utf-8,data/compilation/html/497480/2bc670f6797b7a1b3c550fefe3296c5812b08f8b.html,
497480,Reach University,https://info.reach.edu/support/family-educational-rights-and-privacy-act-ferpa-acknowledgement,True,200,text/html; charset=utf-8,data/compilation/html/497480/50283da547d3ae25ea3412ee11b8153cdcbe9cfe.html,
497480,Reach University,https://info.reach.edu/support/billing-tuition-and-financial-aid,True,404,text/html,data/compilation/html/497480/4976e2475e005fab1b594fe1f5de7e2528966300.html,
497480,Reach University,https://reach.edu/,True,200,text/html; charset=utf-8,data/compilation/html/497480/560b5a2288158579a034670dcf3ed6eee16d1f57.html,
497480,Reach University,https://reach.edu/computer-science,True,200,text/html; charset=utf-8,data/compilation/html/497480/a0e6e4275acc4010f02f4e4c5ad40445861d4c30.html,
497480,Reach University,https://reach.edu/our-leadership,True,200,text/html; charset=utf-8,data/compilation/html/497480/2613c7fca43a8045f8770cf426d3c183839cf688.html,
497480,Reach University,https://reach.edu/blog/faculty-spotlight-computer-science-skills-for-all-teachers,True,200,text/html; charset=utf-8,data/compilation/html/497480/cb9aaa0918abc67c8f447b2836d5caacc2fa3829.html,
497480,Reach University,https://reach.edu/faculty,True,200,text/html; charset=utf-8,data/compilation/html/497480/b9095dc99317835f9f9c6c0d4a1a806df20d1d9b.html,
497480,Reach University,https://reach.edu/hubfs/RESOURCES/2024-25%20University%20Catalog_FINAL.pdf,False,200,application/pdf,,skipped_non_html
497480,Reach University,https://reach.edu/accreditation,True,200,text/html; charset=utf-8,data/compilation/html/497480/01ba6d2440dc21fff7a1fca2d4d30a0515eada74.html,
497480,Reach University,https://reach.edu/academic-calendar,True,200,text/html; charset=utf-8,data/compilation/html/497480/c521cebdc4a1906bcea41c5b119506259408e4c7.html,
497480,Reach University,https://reach.edu/departments,True,200,text/html; charset=utf-8,data/compilation/html/497480/cbf10d81134aec3d6769e8e7e879e40bdff0c4aa.html,
497480,Reach University,https://reach.edu/blog/the-new-learning-economy-job-embedded-learning-to-fill-the-pipeline-of-teachers,True,200,text/html; charset=utf-8,data/compilation/html/497480/55671bd4c5b3ab3129bcfe9e8816e70771bd7e91.html,
497480,Reach University,https://reach.edu/graduate-programs,True,200,text/html; charset=utf-8,data/compilation/html/497480/85550c328d19826cdaffb6eccf5b56e0ee2bae09.html,
497480,Reach University,https://reach.edu/blog/announcement-reach-launches-required-cs-course-for-all-preservice-teachers-in-k-12-schools,True,200,text/html; charset=utf-8,data/compilation/html/497480/05c9a7cfac90534d2c13b7067744c730333b6e1f.html,
